[ INFO 20230611T144325 MyApp:35] Began process with pid '76778'
[ INFO 20230611T144325 MyApp:34] Generating content into directory '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/bin/lib/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/bin/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/bin/lib/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/bin/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-activate_this_project.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-execute_application.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-setup-AWS_CLI.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-setup-source_control.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-setup-workstation.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-test.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-use-Anaconda.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-use-Homebrew.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/HowTo-use-Vim.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/doc/Solarized.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/BriteOnyx/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/cfg/sample/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/cfg/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/doc/HowTo-use-Apple_macOS.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/doc/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/home/bin/lib/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/home/bin/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/home/Darwin/bin/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/home/Darwin/README.md'
[ INFO 20230611T144325 src_gen.renderer:50] Writing rendered content to file '/Users/vn55qyh/repo/GitHub/wip/workstation/.BO/tmp/generated/home/Linux/README.md'
